,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1725,46160919.437250644,43189656.29494428,32698426.29494428,32698426.29494428,0
1726,40486555.2500275,36984458.281388886,26493228.281388886,26493228.281388886,0
1727,37098126.76859083,33054715.64782783,22563485.64782783,22563485.64782783,0
1728,36500666.30003299,31844858.776138738,21353628.776138738,21353628.776138738,0
1729,35930390.584847376,30285131.197199628,19793901.197199628,19793901.197199628,0
1730,35143845.05394514,29039316.85185764,18548086.85185764,18548086.85185764,0
1731,34614648.521633044,28065140.679592043,17573910.679592043,17573910.679592043,0
1732,33625727.60451559,27301024.39682784,16809794.39682784,16809794.39682784,0
1733,34841792.23869851,27990856.192840762,17499626.192840762,17499626.192840762,0
1734,39466824.94575489,31920626.267721202,21429396.267721202,21429396.267721202,0
1735,45277112.89983901,36603319.82708269,26112089.827082694,26112089.827082694,0
1736,47435582.31759143,37031488.420695044,26540258.420695044,26540258.420695044,0
1737,47802274.43530081,36351037.64837066,25859807.64837066,25859807.64837066,0
1738,47444039.79641832,34461898.035799645,23970668.035799645,23970668.035799645,0
1739,47328655.62099412,33019749.007776294,22528519.007776294,22528519.007776294,0
1740,44103939.76542111,31023581.713266224,20532351.713266224,20532351.713266224,0
1741,46913635.05284523,32328380.94213706,21837150.94213706,21837150.94213706,0
1742,45375582.11760942,31477840.112652726,20986610.112652726,20986610.112652726,0
1743,45674614.40470358,32301660.096006617,21810430.096006617,21810430.096006617,0
1744,47442227.47952684,34196198.729768395,23704968.729768395,23704968.729768395,0
1745,48948262.81634652,36131704.17075548,25640474.170755483,25640474.170755483,0
1746,51119418.452339284,38145547.5746553,27654317.574655302,27654317.574655302,0
1747,50486315.751582354,37448857.37763237,26957627.377632372,26957627.377632372,0
1748,46814561.729444355,33944838.92467274,23453608.924672738,23453608.924672738,0
1749,41790819.30626243,29106685.002038684,18615455.002038684,18615455.002038684,0
