,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
1652,42443302.820746124,27385859.116293654,14250409.116293654,14250409.116293654,0.0,0.0,0.0
1653,39144640.03639673,25877178.885532252,12741728.885532252,12741728.885532252,0.0,0.0,0.0
1654,36297021.29208371,24563229.71695675,11427779.71695675,11427779.71695675,0.0,0.0,0.0
1655,34017753.23020928,24032245.717021134,10896795.717021134,10896795.717021134,0.0,0.0,0.0
1656,34248847.31574158,26892374.74221198,13756924.742211979,13756924.742211979,0.0,0.0,0.0
1657,34177290.263876244,28294464.472757168,15159014.472757168,15159014.472757168,0.0,0.0,0.0
1658,33405999.090081897,28876894.96442664,15741444.96442664,15741444.96442664,0.0,0.0,0.0
1659,32411825.295723386,29245773.924985886,16110323.924985886,16110323.924985886,0.0,0.0,0.0
1660,31550794.54049135,27833012.610088065,14697562.610088065,14697562.610088065,0.0,0.0,0.0
1661,31394776.70609646,27916442.36348922,14780992.363489222,14780992.363489222,0.0,0.0,0.0
1662,32593650.591446772,28739499.799936146,15604049.799936146,15604049.799936146,0.0,0.0,0.0
1663,33581372.52047316,29652452.021590166,16517002.021590166,16517002.021590166,0.0,0.0,0.0
1664,36901737.03366697,32913515.86185614,19778065.86185614,19778065.86185614,0.0,0.0,0.0
1665,40407446.04185624,36329589.07848417,23194139.07848417,23194139.07848417,0.0,0.0,0.0
1666,42399312.829845324,38001274.9057523,24865824.9057523,24865824.9057523,0.0,0.0,0.0
1667,43074999.09008189,38225023.54749839,25089573.54749839,25089573.54749839,0.0,0.0,0.0
1668,43420467.151956335,38369647.14741989,25234197.147419892,25234197.147419892,0.0,0.0,0.0
1669,42891414.19472247,38040212.41559469,24904762.41559469,24904762.41559469,0.0,0.0,0.0
1670,41830962.147406735,37471618.39996362,24336168.399963617,24336168.399963617,0.0,0.0,0.0
1671,41786385.623293914,37168853.8561472,24033403.8561472,24033403.8561472,0.0,0.0,0.0
1672,42576445.85987261,37618738.49055161,24483288.490551613,24483288.490551613,0.0,0.0,0.0
1673,44308478.43494085,38540007.793026425,25404557.793026425,25404557.793026425,0.0,0.0,0.0
